season	baker	episode	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad
12	Amanda	1	12.0	12						
12	Amanda	2	8.0	4						
12	Amanda	3	6.33	3						
12	Amanda	4	6.75	8						
12	Amanda	5	7.0	8						
12	Amanda	6	6.67	5						
12	Amanda	7	5.71	0						
12	Amanda	8	5.0	0						
12	Chigs	1	11.0	11						
12	Chigs	2	9.0	7						
12	Chigs	3	8.0	6						
12	Chigs	4	6.75	3						
12	Chigs	5	5.8	2						
12	Chigs	6	5.33	3						
12	Chigs	7	5.0	3						
12	Chigs	8	4.5	1						
12	Crystelle	1	8.0	8						
12	Crystelle	2	9.0	10						
12	Crystelle	3	9.0	9						
12	Crystelle	4	8.0	5						
12	Crystelle	5	7.8	7						
12	Crystelle	6	6.83	2						
12	Crystelle	7	6.43	4						
12	Crystelle	8	6.25	5						
12	Freya	1	2.0	2						
12	Freya	2	2.5	3						
12	Freya	3	3.0	4						
12	Freya	4	3.75	6						
12	Freya	5	4.0	5						
12	Freya	6	3.33	0						
12	Freya	7	2.86	0						
12	Freya	8	2.5	0						
12	George	1	3.0	3						
12	George	2	5.5	8						
12	George	3	6.0	7						
12	George	4	6.25	7						
12	George	5	6.2	6						
12	George	6	6.17	6						
12	George	7	6.14	6						
12	George	8	5.38	0						
12	Giuseppe	1	10.0	10						
12	Giuseppe	2	6.0	2						
12	Giuseppe	3	4.33	1						
12	Giuseppe	4	4.25	4						
12	Giuseppe	5	3.6	1						
12	Giuseppe	6	3.67	4						
12	Giuseppe	7	3.29	1						
12	Giuseppe	8	3.13	2						
12	Jairzinho	1	9.0	9						
12	Jairzinho	2	9.0	9						
12	Jairzinho	3	6.0	0						
12	Jairzinho	4	4.5	0						
12	Jairzinho	5	3.6	0						
12	Jairzinho	6	3.0	0						
12	Jairzinho	7	2.57	0						
12	Jairzinho	8	2.25	0						
12	Jürgen	1	6.0	6						
12	Jürgen	2	3.5	1						
12	Jürgen	3	4.0	5						
12	Jürgen	4	3.25	1						
12	Jürgen	5	3.4	4						
12	Jürgen	6	3.0	1						
12	Jürgen	7	2.86	2						
12	Jürgen	8	3.0	4						
12	Lizzie	1	4.0	4						
12	Lizzie	2	5.0	6						
12	Lizzie	3	4.0	2						
12	Lizzie	4	3.5	2						
12	Lizzie	5	3.4	3						
12	Lizzie	6	4.0	7						
12	Lizzie	7	4.14	5						
12	Lizzie	8	4.0	3						
12	Maggie	1	1.0	1						
12	Maggie	2	3.0	5						
12	Maggie	3	4.67	8						
12	Maggie	4	5.75	9						
12	Maggie	5	4.6	0						
12	Maggie	6	3.83	0						
12	Maggie	7	3.29	0						
12	Maggie	8	2.88	0						
12	Rochica	1	7.0	7						
12	Rochica	2	9.0	11						
12	Rochica	3	9.33	10						
12	Rochica	4	7.0	0						
12	Rochica	5	5.6	0						
12	Rochica	6	4.67	0						
12	Rochica	7	4.0	0						
12	Rochica	8	3.5	0						
12	Tom	1	5.0	5						
12	Tom	2	2.5	0						
12	Tom	3	1.67	0						
12	Tom	4	1.25	0						
12	Tom	5	1.0	0						
12	Tom	6	0.83	0						
12	Tom	7	0.71	0						
12	Tom	8	0.63	0						
